,text,favourite_count,retweet_count,created_at
88,@ashmitadubey28 @LgbtqIndia @IndiaToday How r u,0,0,2021-12-28 12:25:01+00:00
89,@Shivani65188700 @LgbtqIndia @IndiaToday Hi,0,0,2021-12-28 12:13:56+00:00
90,RT @LgbtqIndia: Madras High Court directs the Union Government to extend the scope of 'Garima Greh' Scheme to all members of the LGBTQIA+ C…,0,0,2021-12-28 11:35:59+00:00
91,This is Super Progressive. LGBT Community should learn from them and come out in mainstream. It inspires millions o… https://t.co/rU5TEqz97s,7,2,2021-12-28 04:15:20+00:00
92,@LgbtqIndia That's a sin,0,0,2021-12-27 17:12:28+00:00
93,@ZoyaTripathy @BJP4India @PMOIndia @SupremeCourtIND @RajyaSabha @indialaw @INCIndia @bjd_odisha @CMO_Odisha… https://t.co/zsQcuI8T3v,1,0,2021-12-27 15:04:52+00:00
94,"@LgbtqIndia @TelanganaToday Greetings of the season!!!
  Sadhana organization working in education sectors, designi… https://t.co/EGgJPjIFHU",0,0,2021-12-27 12:52:06+00:00
95,@pameladas2203 @LgbtqIndia @lgbtnewsin @lgbteventsindia @LGBTindiatours @HumsafarTrust @IndianLgbt @MistLGBT Will s… https://t.co/mNki2QNY65,0,0,2021-12-27 11:16:47+00:00
96,RT @LgbtqIndia: Transgender brothers attacked in TVM; one seriously injured. It is reported that attackers used to disturb the trio by maki…,0,0,2021-12-27 10:56:46+00:00
97,"Hiring LGBT+ Job Seekers (LGBT+ means Lesbian, Gay, Bisexual, Transgender, Queer, Intersex)

Non IT &amp; IT (0 to 18 y… https://t.co/sHK7DBX2lC",0,0,2021-12-27 10:13:20+00:00
98,RT @LgbtqIndia: Transgender brothers attacked in TVM; one seriously injured. It is reported that attackers used to disturb the trio by maki…,0,0,2021-12-27 05:57:57+00:00
99,The #LGBTQIA deserve same rights and dignity as cisgender and heterosexual people. The actions of those people is d… https://t.co/YyDjCuoVMP,0,0,2021-12-27 05:50:13+00:00
100,RT @LgbtqIndia: Transgender brothers attacked in TVM; one seriously injured. It is reported that attackers used to disturb the trio by maki…,0,0,2021-12-27 05:44:32+00:00
101,RT @LgbtqIndia: Remembering Shillong’s first openly transgender woman https://t.co/ouezuw0hUz,0,0,2021-12-27 01:34:12+00:00
102,@LgbtqIndia @LGBT @LGBTfdn @LGBTCenterNYC @LGBTHM @MeeraParida @zainabjp @ssimran1888 @Sadhana03255748 @sahoomeghna… https://t.co/fSlXyje5Lp,0,0,2021-12-26 19:09:14+00:00
103,Why discrimination with the #LGBTQ people @BJP4India @PMOIndia why such discrimination still &amp; how much we will suf… https://t.co/c68GoIV6Ik,5,0,2021-12-26 19:03:43+00:00
104,RT @LgbtqIndia: ‘Inclusive’ co-living space for LGBTQs in Hyderabad https://t.co/jmmbAJpPKi via @TelanganaToday,0,0,2021-12-26 17:46:12+00:00
105,"RT @LgbtqIndia: Amid protests, Kozhikode school welcomes gender-neutral uniforms  https://t.co/LUqrBOrvEC via @indiatoday",0,0,2021-12-26 13:15:43+00:00
106,"RT @LgbtqIndia: Bengaluru: Over 5,000 people take part in Namma Pride march, demand legalisation of same sex marriage https://t.co/dwMTECdk…",0,0,2021-12-26 13:00:27+00:00
107,"RT @sandeepbak: Will gay marriage lead to equality in India?
Equality that puts to rest dowry, women living with in-laws, anti-Muslim viole…",0,0,2021-12-26 11:44:58+00:00
108,RT @LgbtqIndia: Remembering Shillong’s first openly transgender woman https://t.co/ouezuw0hUz,0,0,2021-12-26 10:31:16+00:00
109,RT @LgbtqIndia: Remembering Shillong’s first openly transgender woman https://t.co/ouezuw0hUz,0,0,2021-12-26 09:05:55+00:00
110,RT @LgbtqIndia: ‘It’s so liberating’: India’s first salon run by transgender men  https://t.co/MOdcWyH5ZD,0,0,2021-12-26 05:40:29+00:00
111,RT @LgbtqIndia: ‘It’s so liberating’: India’s first salon run by transgender men  https://t.co/MOdcWyH5ZD,0,0,2021-12-26 01:42:16+00:00
112,RT @LgbtqIndia: ‘It’s so liberating’: India’s first salon run by transgender men  https://t.co/MOdcWyH5ZD,0,0,2021-12-25 12:33:17+00:00
113,RT @LgbtqIndia: Queer couple who opened LGBTQ+ inclusive restaurant while going through IVF https://t.co/VAo6Znz9q4,0,0,2021-12-25 01:43:01+00:00
114,"RT @LgbtqIndia: Karti P Chidambaram: ‘LGBTQ population, single men must also have access to Assisted Reproductive tech’ https://t.co/fVpjAK…",0,0,2021-12-24 04:51:04+00:00
115,RT @LgbtqIndia: Odisha Govt invites public views and comments on the comprehensive Draft Transgender Policy on the measures and procedures…,0,0,2021-12-24 03:16:07+00:00
116,RT @LgbtqIndia: Murder of two Transgender Persons in Patna Triggers Protest in Community https://t.co/kPJGN7HrBq,0,0,2021-12-24 02:29:04+00:00
117,RT @LgbtqIndia: 12 pilot shelter homes for transgender persons in 9 states: Govt https://t.co/9pla0YwqwP #latest_news,0,0,2021-12-24 01:47:14+00:00
118,"RT @MobberaF: Even with job opportunities coming their way, when will India be ready for transgender colleagues? #transgender #LGBTQIA",0,0,2021-12-23 19:23:06+00:00
119,"RT @LgbtqIndia: In India, gay, lesbian and trans people can face witchdoctors, exorcists and 'corrective rape' https://t.co/Jq4tFS6ImI via…",0,0,2021-12-23 14:06:43+00:00
120,"RT @LgbtqIndia: Karti P Chidambaram: ‘LGBTQ population, single men must also have access to Assisted Reproductive tech’ https://t.co/fVpjAK…",0,0,2021-12-23 14:02:40+00:00
121,"RT @LgbtqIndia: Karti P Chidambaram: ‘LGBTQ population, single men must also have access to Assisted Reproductive tech’ https://t.co/fVpjAK…",0,0,2021-12-23 12:35:35+00:00
122,RT @LgbtqIndia: 12 pilot shelter homes for transgender persons in 9 states: Govt https://t.co/9pla0YwqwP #latest_news,0,0,2021-12-23 12:34:36+00:00
123,"RT @LgbtqIndia: Karti P Chidambaram: ‘LGBTQ population, single men must also have access to Assisted Reproductive tech’ https://t.co/fVpjAK…",0,0,2021-12-23 08:47:41+00:00
124,RT @LgbtqIndia: 6 Queer Individuals Who Made News With Their Achievements In 2021 https://t.co/bPVCmsZudT via @FeminismInIndia,0,0,2021-12-23 07:48:39+00:00
